elapsed_minute,phase,service_voltage_factor,connection_bus_id,connection_bus_voltage_pu,drive_terminal_voltage_pu,pump_speed_command_pu,pump_actual_speed_pu,pump_flow_l_s,pump_electrical_power_mw,critical_node_pressure_m,maximum_pressure_m,maximum_water_velocity_m_s,delivered_water_fraction,system_minimum_voltage_pu,maximum_line_loading_percent,maximum_transformer_loading_percent,inner_iterations,voltage_residual_pu,pump_power_residual_mw,water_limits_passed,electricity_limits_passed,inner_coupling_converged,normal_state_limits_passed,disturbed_state_retained
55,voltage_recovery,0.855,PB046,1.0384592120248632,0.887882626281258,0.99,0.7125722003504632,116.62165820598602,0.07309856603927517,-16.847864151000977,44.71082305908203,0.4995783865451813,0.8971091190491217,0.9234969489011043,80.51545169320732,86.10192272262894,3,4.0152992042408187e-11,1.429743619330015e-08,False,True,True,False,True
60,voltage_recovery,0.9275,PB046,1.0381491119657538,0.9628833013482366,0.99,0.9716272341673772,130.05076348781586,0.18392677865291113,32.091209411621094,99.0298080444336,0.4997303783893585,1.0,0.923496948901262,80.5154516932087,86.11120934116616,6,1.905674439139915e-06,0.0006780978499681956,True,True,True,True,True
65,normal_post,1.0,PB046,1.038096059932907,1.038096059932907,0.99,1.0088575496667889,130.05776703357697,0.20284590201028121,42.121089935302734,109.06045532226562,0.49975845217704773,1.0,0.9234969489008642,80.51545169320869,86.11279831763298,4,2.0853675837262386e-06,0.0007419620564653728,True,True,True,True,True
70,normal_post,1.0,PB046,1.0380947608612865,1.0380947608612865,0.99,1.0088569066263369,130.05761802196503,0.20284497924259567,42.1207389831543,109.0600814819336,0.49975845217704773,1.0,0.9234969489013589,80.51545169321089,86.11283722729597,3,1.3287681355222958e-07,4.727661625364421e-05,True,True,True,True,True
75,normal_post,1.0,PB046,1.0380946778811044,1.0380946778811044,0.99,1.0088568655511465,130.0577074289322,0.2028450036264777,42.12066650390625,109.06000518798828,0.49975845217704773,1.0,0.9234969489011638,80.51545169321089,86.11283971270927,3,8.509391413724643e-09,3.0275780259769736e-06,True,True,True,True,True
80,normal_post,1.0,PB046,1.038094672547888,1.038094672547888,0.99,1.0088568629112045,130.05772233009338,0.20284502686713107,42.12064743041992,109.06000518798828,0.49975845217704773,1.0,0.923496948901172,80.51545169321253,86.11283987245025,3,6.075495662116737e-10,2.1615833240007376e-07,True,True,True,True,True
85,normal_post,1.0,PB046,1.038094672365473,1.038094672365473,0.99,1.008856862820909,130.05763292312622,0.20284494495323654,42.12068557739258,109.06004333496094,0.49975845217704773,1.0,0.9234969489012752,80.51545169321633,86.11283987791639,3,1.1439071911922838e-11,4.069565712194745e-09,True,True,True,True,True
90,normal_post,1.0,PB046,1.0380946723726001,1.0380946723726001,0.99,1.0088568628244372,130.05763292312622,0.20284494495323654,42.12068557739258,109.06004333496094,0.49975845217704773,1.0,0.9234969489011083,80.51545169321075,86.11283987769936,3,7.220890552162018e-13,2.6045218759485067e-10,True,True,True,True,True
95,normal_post,1.0,PB046,1.0380946723730584,1.0380946723730584,0.99,1.008856862824664,130.05763292312622,0.20284494495323654,42.12068557739258,109.06004333496094,0.49975845217704773,1.0,0.9234969489011083,80.51545169321075,86.11283987768728,3,4.0190073491430667e-14,1.666894400287333e-11,True,True,True,True,True
100,normal_post,1.0,PB046,1.0380946723730862,1.0380946723730862,0.99,1.0088568628246777,130.05763292312622,0.20284494495323654,42.12068557739258,109.06004333496094,0.49975845217704773,1.0,0.9234969489011087,80.51545169321075,86.11283987768665,3,1.3322676295501878e-15,1.066813304362313e-12,True,True,True,True,True
105,normal_post,1.0,PB046,1.038094672373093,1.038094672373093,0.99,1.0088568628246812,130.05763292312622,0.20284494495323654,42.12068557739258,109.06004333496094,0.49975845217704773,1.0,0.9234969489011138,80.51545169321264,86.11283987768478,3,4.440892098500626e-16,6.827871601444713e-14,True,True,True,True,True
110,normal_post,1.0,PB046,1.0380946723730926,1.0380946723730926,0.99,1.0088568628246808,130.05763292312622,0.20284494495323654,42.12068557739258,109.06004333496094,0.49975845217704773,1.0,0.9234969489011138,80.51545169321264,86.11283987768509,3,2.220446049250313e-16,4.3576253716537394e-15,True,True,True,True,True
115,normal_post,1.0,PB046,1.038094672373092,1.038094672373092,0.99,1.0088568628246806,130.05763292312622,0.20284494495323654,42.12068557739258,109.06004333496094,0.49975845217704773,1.0,0.9234969489011121,80.51545169321456,86.11283987768512,3,0.0,2.7755575615628914e-16,True,True,True,True,True
120,normal_post,1.0,PB046,1.038094672373092,1.038094672373092,0.99,1.0088568628246806,130.05763292312622,0.20284494495323654,42.12068557739258,109.06004333496094,0.49975845217704773,1.0,0.9234969489011121,80.51545169321456,86.11283987768512,3,0.0,2.7755575615628914e-17,True,True,True,True,True
