source_id,edge_id,edge_kind,length_km,peak_inflow_kw,geometry_json,original_road_segments,building_id
H2,road::00648,road,0.006859295560896421,630.7567457081831,"[[10.2125994,50.0371042],[10.2126407,50.03711],[10.2126821,50.0371319]]",2,
H2,road::00652,road,0.014982567575209703,604.615500061449,"[[10.2126821,50.0371319],[10.2128073,50.0372399]]",1,
H2,road::00660,road,0.06344911326469793,525.8451719887233,"[[10.2128073,50.0372399],[10.2133732,50.0376792]]",1,
H2,road::00661,road,0.019346070107731407,110.76055576170334,"[[10.212838,50.038192],[10.2130637,50.0382878]]",1,
H2,road::00662,road,0.02901051782285647,302.6842026919412,"[[10.212838,50.038192],[10.213064,50.0379754]]",1,
H2,road::00665,road,0.026041529363677568,26.46738240990277,"[[10.2128677,50.0365735],[10.213044,50.0364687],[10.2131504,50.0364278]]",2,
H2,road::00675,road,0.039677620729679265,524.4417640539499,"[[10.213064,50.0379754],[10.2133732,50.0376792]]",1,
H2,road::00678,road,0.013825386770648578,137.77908742796714,"[[10.2131422,50.0361184],[10.2132453,50.0361381],[10.2133267,50.0361553]]",2,
H2,road::00679,road,0.03283042545290302,137.4756214831374,"[[10.2131504,50.0364278],[10.2132308,50.0363076],[10.2132844,50.036228],[10.2133267,50.0361553]]",3,
H2,road::00797,road,0.025106116359550214,301.62448219944474,"[[10.2165667,50.0413864],[10.2165869,50.0416118]]",1,
H2,road::00798,road,0.05850804070538118,329.02995358108313,"[[10.2165667,50.0413864],[10.2165452,50.0411741],[10.2169225,50.0411394],[10.2170272,50.041129]]",3,
H2,road::00799,road,0.029820238866697848,164.38111072427506,"[[10.2165688,50.0418434],[10.2164776,50.0416972],[10.2165869,50.0416118]]",2,
H2,road::00800,road,0.03542744043292543,53.166881685197545,"[[10.2165688,50.0418434],[10.2167531,50.0421391]]",1,
H2,road::00802,road,0.008253118278377065,3655.790752686929,"[[10.2168008,50.0389583],[10.2168059,50.0389344],[10.2168228,50.0388855]]",2,
H2,road::00803,road,0.12835032794814674,3655.596973284185,"[[10.2168008,50.0389583],[10.2167981,50.0389711],[10.2167615,50.0391327],[10.2167421,50.0392802],[10.2167338,50.0394468],[10.2167332,50.0395707],[10.2167699,50.0396639],[10.2168587,50.0397432],[10.216976,50.0398214],[10.2170862,50.0398961],[10.2171815,50.0399629],[10.2172258,50.0399953]]",11,
H2,road::00804,road,0.024693523549119863,3656.3705514321423,"[[10.2168228,50.0388855],[10.2168975,50.0386687]]",1,
H2,road::00806,road,0.06071769204493447,12724.618226926576,"[[10.2168975,50.0386687],[10.2173846,50.0387828],[10.2176949,50.0388555]]",2,
H2,road::00807,road,0.012283594525417448,3651.201812778269,"[[10.2169,50.0405548],[10.2169002,50.0405025],[10.2169088,50.0404446]]",2,
