elapsed_minute,leak_active,equivalent_orifice_diameter_mm,leak_flow_l_s,pump_flow_l_s,pump_electrical_power_mw,pump_speed_command_pu,pump_actual_speed_pu,pump_discharge_pressure_m,critical_node_pressure_m,maximum_pressure_m,maximum_water_velocity_m_s,delivered_water_fraction,pump_bus_id,pump_bus_voltage_pu,system_minimum_voltage_pu,maximum_line_loading_percent,maximum_transformer_loading_percent,inner_iterations,voltage_residual_pu,pump_power_residual_mw,water_limits_passed,electricity_limits_passed,inner_coupling_converged,step_accepted
50,True,30.0,23.553159087896347,153.60702574253082,0.22399158831404242,1.0277,1.0472440843458042,100.60324096679688,38.31488800048828,102.21569061279297,0.4599716365337372,1.0,PB046,1.0380346099947535,0.923495874050828,80.51552199350787,86.11468282841128,3,1.2545357797044687e-07,4.463030665247114e-05,True,True,True,True
55,True,30.0,23.553166538476944,153.60687673091888,0.22399150691725783,1.0277,1.0472440442429138,100.6032943725586,38.314945220947266,102.21576690673828,0.4599710702896118,1.0,PB046,1.0380345319507907,0.923495874050682,80.51552199351333,86.11468516608983,3,8.044478860824711e-09,2.8618362727106383e-06,True,True,True,True
60,True,30.0,23.55317212641239,153.60678732395172,0.22399144448969674,1.0277,1.0472440417285906,100.60334777832031,38.314998626708984,102.2158203125,0.45997074246406555,1.0,PB046,1.0380345270576836,0.9234958740505284,80.51552199350964,86.1146853126565,3,4.4160897161305e-10,1.571000471378703e-07,True,True,True,True
65,True,30.0,23.553159087896347,153.60695123672485,0.2239914796687918,1.0277,1.04724404154245,100.6032485961914,38.31490707397461,102.21570587158203,0.4599713385105133,1.0,PB046,1.038034526695436,0.9234958740506564,80.51552199351319,86.11468532350423,3,4.654432395057029e-11,1.6560579352287164e-08,True,True,True,True
70,True,30.0,23.5531534999609,153.6070555448532,0.2239914958782678,1.0277,1.0472440415056061,100.6031723022461,38.3148307800293,102.21565246582031,0.4599717855453491,1.0,PB046,1.0380345266237343,0.923495874050679,80.51552199351319,86.11468532565016,3,7.353673225907187e-12,2.6159867883013277e-09,True,True,True,True
75,True,30.0,23.5531534999609,153.6070555448532,0.2239914958782678,1.0277,1.0472440415032482,100.6031723022461,38.3148307800293,102.21565246582031,0.4599717855453491,1.0,PB046,1.0380345266191462,0.9234958740505066,80.51552199351335,86.11468532579038,3,4.762856775641922e-13,1.6742315867013247e-10,True,True,True,True
80,True,30.0,23.5531534999609,153.6070555448532,0.2239914958782678,1.0277,1.0472440415031,100.6031723022461,38.3148307800293,102.21565246582031,0.4599717855453491,1.0,PB046,1.0380345266188575,0.9234958740505073,80.51552199351347,86.11468532580304,3,2.0650148258027912e-14,1.0715095477564773e-11,True,True,True,True
85,True,30.0,23.5531534999609,153.6070555448532,0.2239914958782678,1.0277,1.0472440415030895,100.6031723022461,38.3148307800293,102.21565246582031,0.4599717855453491,1.0,PB046,1.0380345266188369,0.9234958740505073,80.51552199351347,86.114685325802,3,3.9968028886505635e-15,6.857847623109592e-13,True,True,True,True
90,True,30.0,23.5531534999609,153.6070555448532,0.2239914958782678,1.0277,1.0472440415030873,100.6031723022461,38.3148307800293,102.21565246582031,0.4599717855453491,1.0,PB046,1.0380345266188327,0.9234958740505017,80.51552199350951,86.11468532579941,3,6.661338147750939e-16,4.388156504830931e-14,True,True,True,True
95,True,30.0,23.5531534999609,153.6070555448532,0.2239914958782678,1.0277,1.0472440415030877,100.6031723022461,38.3148307800293,102.21565246582031,0.4599717855453491,1.0,PB046,1.0380345266188333,0.9234958740504848,80.51552199351333,86.11468532579978,3,2.886579864025407e-15,2.8033131371785203e-15,True,True,True,True
100,True,30.0,23.5531534999609,153.6070555448532,0.2239914958782678,1.0277,1.0472440415030881,100.6031723022461,38.3148307800293,102.21565246582031,0.4599717855453491,1.0,PB046,1.0380345266188344,0.923495874050485,80.51552199351347,86.11468532579978,3,2.220446049250313e-16,1.942890293094024e-16,True,True,True,True
105,True,30.0,23.5531534999609,153.6070555448532,0.2239914958782678,1.0277,1.0472440415030881,100.6031723022461,38.3148307800293,102.21565246582031,0.4599717855453491,1.0,PB046,1.0380345266188344,0.9234958740504715,80.51552199351333,86.11468532579978,3,0.0,0.0,True,True,True,True
110,True,30.0,23.5531534999609,153.6070555448532,0.2239914958782678,1.0277,1.0472440415030881,100.6031723022461,38.3148307800293,102.21565246582031,0.4599717855453491,1.0,PB046,1.0380345266188344,0.9234958740504715,80.51552199351333,86.11468532579978,3,0.0,0.0,True,True,True,True
115,True,30.0,23.5531534999609,153.6070555448532,0.2239914958782678,1.0277,1.0472440415030881,100.6031723022461,38.3148307800293,102.21565246582031,0.4599717855453491,1.0,PB046,1.0380345266188344,0.9234958740504715,80.51552199351333,86.11468532579978,3,0.0,0.0,True,True,True,True
120,True,30.0,23.5531534999609,153.6070555448532,0.2239914958782678,1.0277,1.0472440415030881,100.6031723022461,38.3148307800293,102.21565246582031,0.4599717855453491,1.0,PB046,1.0380345266188344,0.9234958740504715,80.51552199351333,86.11468532579978,3,0.0,0.0,True,True,True,True
